Robot_X,Robot_Y,Robot_Yaw,MidPoint_X,MidPoint_Y,MidPoint_Yaw
-0.823,-2.409,-86.919,-0.852,-4.416,-2.706
-0.597,-2.494,-96.297,-0.867,-4.482,-1.312
-1.065,-2.477,-79.668,-0.975,-4.456,-3.341
-0.153,-2.78,-117.478,-0.814,-4.519,-0.692
-1.192,-2.441,-79.257,-0.923,-4.461,-2.859
,,Error 1,0.015,0.066,1.394
,,Error 2,0.108,0.026,2.029
,,Error 3,0.161,0.063,2.649
,,Error 4,0.109,0.058,2.167
,,Error 5,,,
,,Mean,-0.89475,-4.4795,-2.051
,,Mean Error,0.04275,0.0635,0.655
,,Max error,0.161,0.066,2.649
,,Min Error,0.015,0.026,1.394
